id,production_schedule_id,sequence,location_code,event_type,event_time,advertised_event_time
173814926,7507823,1,STRBDGT,A,2020-12-22 19:58:00,2020-12-22 19:58:00
173799567,7507294,32,CREWE,A,2020-12-22 23:38:00,2020-12-22 23:40:00
173799564,7507294,29,ALSAGER,D,2020-12-22 23:28:30,2020-12-22 23:28:00
173799563,7507294,28,ALSAGER,A,2020-12-22 23:28:00,2020-12-22 23:28:00
173799562,7507294,27,KIDSGRV,D,2020-12-22 23:24:30,2020-12-22 23:24:00
173799561,7507294,26,KIDSGRV,A,2020-12-22 23:23:30,2020-12-22 23:24:00
173799560,7507294,25,STOKEOT,D,2020-12-22 23:16:00,2020-12-22 23:16:00
173799559,7507294,24,STOKEOT,A,2020-12-22 23:15:00,2020-12-22 23:15:00
173799557,7507294,22,STONE,D,2020-12-22 23:08:00,2020-12-22 23:08:00
173799556,7507294,21,STONE,A,2020-12-22 23:07:00,2020-12-22 23:07:00
173799553,7507294,18,STAFFRD,D,2020-12-22 22:59:00,2020-12-22 22:59:00
173799552,7507294,17,STAFFRD,A,2020-12-22 22:58:00,2020-12-22 22:58:00
173799550,7507294,15,PNKRDG,D,2020-12-22 22:51:30,2020-12-22 22:51:00
173799549,7507294,14,PNKRDG,A,2020-12-22 22:51:00,2020-12-22 22:51:00
173799546,7507294,11,WVRMPTN,D,2020-12-22 22:43:00,2020-12-22 22:43:00
173799545,7507294,10,WVRMPTN,A,2020-12-22 22:42:00,2020-12-22 22:42:00
173799544,7507294,9,COSELEY,D,2020-12-22 22:37:30,2020-12-22 22:37:00
173799543,7507294,8,COSELEY,A,2020-12-22 22:37:00,2020-12-22 22:37:00
173799541,7507294,6,SNDWDUD,D,2020-12-22 22:32:00,2020-12-22 22:32:00
173799540,7507294,5,SNDWDUD,A,2020-12-22 22:31:00,2020-12-22 22:31:00
173799539,7507294,4,GALTILL,D,2020-12-22 22:29:00,2020-12-22 22:29:00
173799538,7507294,3,GALTILL,A,2020-12-22 22:28:30,2020-12-22 22:29:00
173799535,7507294,0,BHAMNWS,D,2020-12-22 22:22:00,2020-12-22 22:22:00
173814930,7507825,1,STRBDGT,A,2020-12-22 20:18:00,2020-12-22 20:18:00
173814929,7507825,0,STRBDG1,D,2020-12-22 20:15:00,2020-12-22 20:15:00
173814932,7507826,1,STRBDGT,A,2020-12-22 20:28:00,2020-12-22 20:28:00
173814931,7507826,0,STRBDG1,D,2020-12-22 20:25:00,2020-12-22 20:25:00
173814934,7507827,1,STRBDGT,A,2020-12-22 20:38:00,2020-12-22 20:38:00
173814933,7507827,0,STRBDG1,D,2020-12-22 20:35:00,2020-12-22 20:35:00
173814936,7507828,1,STRBDGT,A,2020-12-22 20:48:00,2020-12-22 20:48:00
173814935,7507828,0,STRBDG1,D,2020-12-22 20:45:00,2020-12-22 20:45:00
173814938,7507829,1,STRBDGT,A,2020-12-22 20:58:00,2020-12-22 20:58:00
173814937,7507829,0,STRBDG1,D,2020-12-22 20:55:00,2020-12-22 20:55:00
173814940,7507830,1,STRBDGT,A,2020-12-22 21:08:00,2020-12-22 21:08:00
173814939,7507830,0,STRBDG1,D,2020-12-22 21:05:00,2020-12-22 21:05:00
173814942,7507831,1,STRBDGT,A,2020-12-22 21:18:00,2020-12-22 21:18:00
173814941,7507831,0,STRBDG1,D,2020-12-22 21:15:00,2020-12-22 21:15:00
173814944,7507832,1,STRBDGT,A,2020-12-22 12:58:00,2020-12-22 12:58:00
173814943,7507832,0,STRBDG1,D,2020-12-22 12:55:00,2020-12-22 12:55:00
173814946,7507833,1,STRBDGT,A,2020-12-22 13:08:00,2020-12-22 13:08:00
173814945,7507833,0,STRBDG1,D,2020-12-22 13:05:00,2020-12-22 13:05:00
173814948,7507834,1,STRBDGT,A,2020-12-22 21:28:00,2020-12-22 21:28:00
173814947,7507834,0,STRBDG1,D,2020-12-22 21:25:00,2020-12-22 21:25:00
173814950,7507835,1,STRBDGT,A,2020-12-22 13:18:00,2020-12-22 13:18:00
173814949,7507835,0,STRBDG1,D,2020-12-22 13:15:00,2020-12-22 13:15:00
173814952,7507836,1,STRBDG1,A,2020-12-22 19:53:00,2020-12-22 19:53:00
173814951,7507836,0,STRBDGT,D,2020-12-22 19:50:00,2020-12-22 19:50:00
173814954,7507837,1,STRBDG1,A,2020-12-22 20:03:00,2020-12-22 20:03:00
173814953,7507837,0,STRBDGT,D,2020-12-22 20:00:00,2020-12-22 20:00:00
173814956,7507838,1,STRBDG1,A,2020-12-22 20:23:00,2020-12-22 20:23:00
173814955,7507838,0,STRBDGT,D,2020-12-22 20:20:00,2020-12-22 20:20:00
173814958,7507839,1,STRBDG1,A,2020-12-22 20:13:00,2020-12-22 20:13:00
173814957,7507839,0,STRBDGT,D,2020-12-22 20:10:00,2020-12-22 20:10:00
173814960,7507840,1,STRBDG1,A,2020-12-22 20:33:00,2020-12-22 20:33:00
173814959,7507840,0,STRBDGT,D,2020-12-22 20:30:00,2020-12-22 20:30:00
173814962,7507841,1,STRBDG1,A,2020-12-22 20:43:00,2020-12-22 20:43:00
173814961,7507841,0,STRBDGT,D,2020-12-22 20:40:00,2020-12-22 20:40:00
173814964,7507842,1,STRBDG1,A,2020-12-22 20:53:00,2020-12-22 20:53:00
