﻿Title:,"Table 1 - HE student enrolments by HE provider"
Subtitle:,"Academic years 2014/15 to 2018/19"
Reference ID:,DT051 Table 1
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/students/table-1.csv
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2020
Filters:,Country of HE provider,All 
,Region of HE provider,All 
,First year marker,All 
,Level of study,All 
,Mode of study,All 
,Academic year,2018/19 
Search:,


"UKPRN","HE provider","England","Scotland","Wales","Northern Ireland","Other UK","Total UK  ","Other European Union","Non-European Union","Total Non-UK","Not known","Total"
"10007783","The University of Aberdeen","1,435","7,880","45","170","10","9,545","2,900","2,335","5,235","0","14,775"
"10007849","University of Abertay Dundee","135","3,515","0","25","0","3,675","530","155","680","0","4,355"
"10007856","Aberystwyth University","3,615","45","2,715","90","20","6,485","900","460","1,360","0","7,845"
"10000163","AECC University College","345","5","10","5","5","370","105","120","225","0","595"
"10000291","Anglia Ruskin University","20,700","75","80","75","15","20,950","1,555","1,985","3,540","0","24,490"
"10007759","Aston University","12,275","40","185","20","5","12,525","740","1,725","2,465","0","14,990"
"10007857","Bangor University","4,165","40","3,905","95","30","8,230","535","1,425","1,965","0","10,195"
"10000571","Bath Spa University","6,550","15","550","60","20","7,195","235","340","575","0","7,770"
"10007850","The University of Bath","11,335","135","795","145","90","12,495","1,825","3,745","5,570","0","18,065"
"10007152","University of Bedfordshire","10,350","20","30","35","10","10,440","1,725","1,760","3,485","0","13,925"
"10005343","Queen's University Belfast","1,390","125","65","19,305","30","20,915","1,025","2,755","3,780","0","24,695"
"10007760","Birkbeck College","9,945","20","30","10","5","10,015","690","685","1,375","0","11,390"
"10007140","Birmingham City University","22,380","85","320","90","20","22,895","755","2,205","2,960","0","25,855"
"10006840","The University of Birmingham","25,105","140","895","75","100","26,320","1,575","7,550","9,125","0","35,445"
"10000712","University College Birmingham","3,225","5","55","10","5","3,300","1,105","500","1,600","0","4,905"
"10007811","Bishop Grosseteste University","2,230","0","10","5","0","2,245","10","5","15","0","2,260"
"10006841","The University of Bolton","6,220","20","85","30","0","6,360","175","415","585","0","6,945"
"10000385","The Arts University Bournemouth","2,685","10","55","20","60","2,830","230","325","560","0","3,385"
"10000824","Bournemouth University","15,335","35","200","45","65","15,680","760","1,440","2,200","0","17,880"
"10007785","The University of Bradford","8,150","30","45","25","5","8,250","400","1,015","1,415","0","9,665"
"10000886","The University of Brighton","17,290","70","185","105","135","17,785","975","1,710","2,685","0","20,470"
"10000936","The University College of Osteopathy","430","0","5","0","0","440","30","20","50","0","490"
"10007786","The University of Bristol","17,845","205","1,160","185","55","19,450","1,305","5,200","6,505","0","25,955"
"10000961","Brunel University London","10,495","35","120","20","15","10,680","895","3,215","4,110","0","14,790"
"10000975","Buckinghamshire New University","9,990","50","90","60","15","10,200","715","90","800","0","11,005"
"10007787","The University of Buckingham","2,130","25","25","0","5","2,190","130","750","880","0","3,070"
"10007788","The University of Cambridge","12,730","305","305","190","15","13,545","2,625","4,720","7,350","0","20,890"
